,label_sentimentpositive,label_possiblyfeedback,label_argumentsused,label_discriminating,label_personalstories,label_offtopic,label_inappropriate,label_sentimentneutral,label_sentimentnegative,id_post
0,0.9984517097473145,0.9589987397193909,0.9024525284767151,0.7163806557655334,0.6584827899932861,0.33089813590049744,0.32489529252052307,0.12568968534469604,0.11175147444009781,3326
1,0.026405682787299156,0.9515131115913391,0.9190574884414673,0.8563482165336609,0.7859816551208496,0.9561780691146851,0.9028133749961853,0.94089275598526,0.7441117167472839,5321
2,0.9529960751533508,0.9003399014472961,0.9963250756263733,0.9076108932495117,0.45242294669151306,0.9853469133377075,0.9155216217041016,0.008363750763237476,0.7713716626167297,5590
3,0.653998851776123,0.4810665547847748,0.9692873954772949,0.5270143151283264,0.8560777306556702,0.9709146618843079,0.7960643768310547,0.9530484080314636,0.5806797742843628,6015
4,0.009968973696231842,0.9980738162994385,0.6685537695884705,0.7399059534072876,0.1395820677280426,0.9018764495849609,0.6909140944480896,0.022681310772895813,0.8309460282325745,8213
5,0.24086682498455048,0.9737454056739807,0.9445196986198425,0.9433028697967529,0.7271440029144287,0.9861929416656494,0.9230082035064697,0.08353853225708008,0.8937554955482483,9724
6,0.7851914167404175,0.9985203146934509,0.7117438912391663,0.5664412975311279,0.9814265370368958,0.4209972321987152,0.4492567181587219,0.1345750093460083,0.2863609492778778,12986
7,0.8726428151130676,0.9983925819396973,0.9925712943077087,0.9541253447532654,0.33620357513427734,0.7919067144393921,0.7643494009971619,0.00805527064949274,0.788140594959259,13038
8,0.9043079614639282,0.9603057503700256,0.9976397752761841,0.7702301740646362,0.749631941318512,0.6943644881248474,0.8374897837638855,0.6726915836334229,0.4608210027217865,13060
9,0.00017385053797625005,0.8169858455657959,0.8588740825653076,0.9923498630523682,0.12892617285251617,0.8996919989585876,0.9922019839286804,0.00028540671337395906,0.9950562119483948,13076
10,0.88848876953125,0.34368959069252014,0.4044002890586853,0.3454815745353699,0.48727521300315857,0.13366691768169403,0.008360076695680618,0.1601358950138092,0.0190607737749815,14217
11,0.03681555762887001,0.8629292249679565,0.8668703436851501,0.8836102485656738,0.8957651853561401,0.8557196259498596,0.6549860835075378,0.6439110636711121,0.9633066654205322,14677
12,0.028589831665158272,0.9812473654747009,0.8504324555397034,0.940680742263794,0.6392043828964233,0.9368513226509094,0.9825969934463501,0.38816508650779724,0.9789013266563416,15276
13,0.8401674032211304,0.927033543586731,0.9824442863464355,0.9229267239570618,0.8006384372711182,0.8571504950523376,0.8251256346702576,0.8195436596870422,0.9575391411781311,15871
14,0.461861789226532,0.9951854944229126,0.8856387734413147,0.7745386362075806,0.25746554136276245,0.33752360939979553,0.3569454252719879,0.0129692442715168,0.3877847194671631,16439
15,0.8388352990150452,0.9382603764533997,0.9279073476791382,0.938054621219635,0.4897873103618622,0.4679473042488098,0.7415139079093933,0.15173450112342834,0.8560362458229065,18077
16,0.06448105722665787,0.9846612215042114,0.5155547261238098,0.9458370804786682,0.9339019656181335,0.9496516585350037,0.8744872212409973,0.007757176179438829,0.997562825679779,18390
17,0.004512414801865816,0.9897664189338684,0.028578100726008415,0.6721059679985046,0.31530827283859253,0.9099481105804443,0.5605077743530273,0.029704244807362556,0.6312825679779053,18754
18,0.015038477256894112,0.9190180897712708,0.27264997363090515,0.9594598412513733,0.3490240275859833,0.16740447282791138,0.20223145186901093,0.025354331359267235,0.7255262732505798,18881
19,0.9422172904014587,0.9261024594306946,0.5884644985198975,0.8862147927284241,0.7309832572937012,0.4599471986293793,0.5049222707748413,0.0172699186950922,0.8146520256996155,19412
20,0.404360830783844,0.8886105418205261,0.8203985095024109,0.9905118346214294,0.019527405500411987,0.36471647024154663,0.39693018794059753,0.030751945450901985,0.9261961579322815,20492
21,0.0011531069176271558,0.9257259368896484,0.9153984785079956,0.9931596517562866,0.9882858991622925,0.6243203282356262,0.7553424835205078,0.0009101553005166352,0.980604887008667,21065
22,0.015202874317765236,0.995963990688324,0.9622371196746826,0.7756420969963074,0.8812703490257263,0.24876917898654938,0.03494974225759506,0.0030797519721090794,0.6220538020133972,21116
23,0.9741344451904297,0.9893064498901367,0.9823578000068665,0.6701617240905762,0.8296175003051758,0.8343472480773926,0.886388897895813,0.8828443288803101,0.7690912485122681,22078
