,label_possiblyfeedback,label_argumentsused,label_sentimentnegative,label_discriminating,label_inappropriate,label_personalstories,label_offtopic,label_sentimentpositive,label_sentimentneutral,id_post
0,0.9987781643867493,0.9984861612319946,0.9899617433547974,0.9426245093345642,0.8473694324493408,0.7402164340019226,0.48248499631881714,0.006032445002347231,0.0034753652289509773,76854
1,0.8507856726646423,0.5918387770652771,0.08450105786323547,0.6753649711608887,0.13588166236877441,0.7457494735717773,0.05331890285015106,0.9965526461601257,0.01854616589844227,76855
2,0.9968117475509644,0.7854960560798645,0.9450730085372925,0.984257698059082,0.8023697137832642,0.8982865214347839,0.8363341093063354,0.8290661573410034,0.45979011058807373,76856
3,0.9141320586204529,0.9283459186553955,0.010132077150046825,0.5954514145851135,0.04276299476623535,0.7499426603317261,0.25343236327171326,0.9978578090667725,0.27478137612342834,76857
4,0.6415985226631165,0.8261253237724304,0.4674721360206604,0.8618806004524231,0.009500696323812008,0.20906004309654236,0.019758788868784904,0.9840148687362671,0.6770731210708618,76858
5,0.9910895228385925,0.9841363430023193,0.9640974402427673,0.9796877503395081,0.9923585057258606,0.7112917304039001,0.979504406452179,0.029849393293261528,0.013862254098057747,76859
6,0.9978470206260681,0.996737003326416,0.9991047382354736,0.9991854429244995,0.9993055462837219,0.8614992499351501,0.998396098613739,0.001197262667119503,0.0015525749186053872,76860
7,0.7447490692138672,0.9255226850509644,0.705534815788269,0.8664852976799011,0.7027680277824402,0.6185577511787415,0.7800716757774353,0.10328694432973862,0.14698301255702972,76861
8,0.567852795124054,0.8576015830039978,0.1595015525817871,0.8098425269126892,0.45881834626197815,0.6223824620246887,0.30600282549858093,0.9583698511123657,0.9634262323379517,76862
9,0.9962291717529297,0.9781020283699036,0.9917308688163757,0.9959009885787964,0.7878061532974243,0.7852095365524292,0.5710933804512024,0.9818651676177979,0.010011117905378342,76863
